place,state,population
Adams County,Washington,19759
Asotin County,Washington,22610
Benton County,Washington,201877
Chelan County,Washington,77036
Clallam County,Washington,76737
Clark County,Washington,481857
Columbia County,Washington,4059
Cowlitz County,Washington,108987
Douglas County,Washington,42907
Ferry County,Washington,7649
Franklin County,Washington,94347
Garfield County,Washington,2247
Grant County,Washington,97331
Grays Harbor County,Washington,73901
Island County,Washington,84460
Jefferson County,Washington,31729
King County,Washington,2233163
Kitsap County,Washington,269805
Kittitas County,Washington,47364
Klickitat County,Washington,22107
Lewis County,Washington,79604
Lincoln County,Washington,10740
Mason County,Washington,65507
Okanogan County,Washington,42132
Pacific County,Washington,22036
Pend Oreille County,Washington,13602
Pierce County,Washington,891299
San Juan County,Washington,17128
Skagit County,Washington,128206
Skamania County,Washington,11924
Snohomish County,Washington,814901
Spokane County,Washington,514631
Stevens County,Washington,45260
Thurston County,Washington,286419
Wahkiakum County,Washington,4426
Walla Walla County,Washington,60922
Whatcom County,Washington,225685
Whitman County,Washington,49791
Yakima County,Washington,251446
Adams County,Illinois,67103
Alexander County,Illinois,8238
Bond County,Illinois,17768
Boone County,Illinois,54165
Brown County,Illinois,6937
Bureau County,Illinois,34978
Calhoun County,Illinois,5089
Carroll County,Illinois,15387
Cass County,Illinois,13642
Champaign County,Illinois,201081
Christian County,Illinois,34800
Clark County,Illinois,16335
Clay County,Illinois,13815
Clinton County,Illinois,37762
Coles County,Illinois,53873
Cook County,Illinois,5194675
Crawford County,Illinois,19817
Cumberland County,Illinois,11048
DeKalb County,Illinois,105160
DeWitt County,Illinois,16561
Douglas County,Illinois,19980
DuPage County,Illinois,916924
Edgar County,Illinois,18576
Edwards County,Illinois,6721
Effingham County,Illinois,34242
Fayette County,Illinois,22140
Ford County,Illinois,14081
Franklin County,Illinois,39561
Fulton County,Illinois,37069
Gallatin County,Illinois,5589
Greene County,Illinois,13886
Grundy County,Illinois,50063
Hamilton County,Illinois,8457
Hancock County,Illinois,19104
Hardin County,Illinois,4320
Henderson County,Illinois,7331
Henry County,Illinois,50486
Iroquois County,Illinois,29718
Jackson County,Illinois,60218
Jasper County,Illinois,9698
Jefferson County,Illinois,38827
Jersey County,Illinois,22985
Jo Daviess County,Illinois,22678
Johnson County,Illinois,12582
Kane County,Illinois,515269
Kankakee County,Illinois,113449
Kendall County,Illinois,114736
Knox County,Illinois,52919
Lake County,Illinois,703462
LaSalle County,Illinois,113924
Lawrence County,Illinois,16833
Lee County,Illinois,36031
Livingston County,Illinois,38950
Logan County,Illinois,30305
Macon County,Illinois,110768
Macoupin County,Illinois,47765
Madison County,Illinois,269282
Marion County,Illinois,39437
Marshall County,Illinois,12640
Mason County,Illinois,14666
Massac County,Illinois,15429
McDonough County,Illinois,32612
McHenry County,Illinois,308760
McLean County,Illinois,169572
Menard County,Illinois,12705
Mercer County,Illinois,16434
Monroe County,Illinois,32957
Montgomery County,Illinois,30104
Morgan County,Illinois,35547
Moultrie County,Illinois,14846
Ogle County,Illinois,53497
Peoria County,Illinois,186494
Perry County,Illinois,22350
Piatt County,Illinois,16729
Pike County,Illinois,16430
Pope County,Illinois,4470
Pulaski County,Illinois,6161
Putnam County,Illinois,6006
Randolph County,Illinois,33476
Richland County,Illinois,16233
Rock Island County,Illinois,147546
Saline County,Illinois,24913
Sangamon County,Illinois,197465
Schuyler County,Illinois,7544
Scott County,Illinois,5355
Shelby County,Illinois,22363
St. Clair County,Illinois,270056
Stark County,Illinois,5994
Stephenson County,Illinois,47711
Tazewell County,Illinois,135394
Union County,Illinois,17808
Vermilion County,Illinois,81625
Wabash County,Illinois,11947
Warren County,Illinois,17707
Washington County,Illinois,14716
Wayne County,Illinois,16760
White County,Illinois,14665
Whiteside County,Illinois,58498
Will County,Illinois,677560
Williamson County,Illinois,66357
Winnebago County,Illinois,295266
Woodford County,Illinois,38664
Alameda County,California,1663190
Alpine County,California,1120
Amador County,California,38626
Butte County,California,229294
Calaveras County,California,45670
Colusa County,California,21805
Contra Costa County,California,1147439
Del Norte County,California,27470
El Dorado County,California,188987
Fresno County,California,989255
Glenn County,California,28094
Humboldt County,California,136754
Imperial County,California,182830
Inyo County,California,18026
Kern County,California,893119
Kings County,California,150101
Lake County,California,64246
Lassen County,California,31163
Los Angeles County,California,10163507
Madera County,California,156890
Marin County,California,260955
Mariposa County,California,17569
Mendocino County,California,88018
Merced County,California,272673
Modoc County,California,8859
Mono County,California,14168
Monterey County,California,437907
Napa County,California,140973
Nevada County,California,99814
Orange County,California,3190400
Placer County,California,386166
Plumas County,California,18742
Riverside County,California,2423266
Sacramento County,California,1530615
San Benito County,California,60310
San Bernardino County,California,2157404
San Diego County,California,3337685
San Francisco,California,884363
San Joaquin County,California,745424
San Luis Obispo County,California,283405
San Mateo County,California,771410
Santa Barbara County,California,448150
Santa Clara County,California,1938153
Santa Cruz County,California,275897
Shasta County,California,179921
Sierra County,California,2999
Siskiyou County,California,43853
Solano County,California,445458
Sonoma County,California,504217
Stanislaus County,California,547899
Sutter County,California,96648
Tehama County,California,63926
Trinity County,California,12709
Tulare County,California,464493
Tuolumne County,California,54248
Ventura County,California,854223
Yolo County,California,219116
Yuba County,California,77031
Apache County,Arizona,69980
Cochise County,Arizona,127866
Coconino County,Arizona,134421
Gila County,Arizona,51994
Graham County,Arizona,34769
Greenlee County,Arizona,7754
La Paz County,Arizona,20172
Maricopa County,Arizona,3990181
Mohave County,Arizona,194944
Navajo County,Arizona,111273
Pima County,Arizona,1003235
Pinal County,Arizona,324962
Santa Cruz County,Arizona,42845
Yavapai County,Arizona,212635
Yuma County,Arizona,190557
Barnstable County,Massachusetts,215888
Berkshire County,Massachusetts,131219
Bristol County,Massachusetts,548285
Dukes County,Massachusetts,16535
Essex County,Massachusetts,743159
Franklin County,Massachusetts,71372
Hampden County,Massachusetts,463490
Hampshire County,Massachusetts,158080
Middlesex County,Massachusetts,1503085
Nantucket County,Massachusetts,10172
Norfolk County,Massachusetts,670850
Plymouth County,Massachusetts,494919
Suffolk County,Massachusetts,722023
Worcester County,Massachusetts,798552
Anderson County,Texas,57741
Andrews County,Texas,17722
Angelina County,Texas,87805
Aransas County,Texas,25572
Archer County,Texas,8809
Armstrong County,Texas,1879
Atascosa County,Texas,48981
Austin County,Texas,29786
Bailey County,Texas,7077
Bandera County,Texas,22351
Bastrop County,Texas,84761
Baylor County,Texas,3581
Bee County,Texas,32563
Bell County,Texas,347833
Bexar County,Texas,1958578
Blanco County,Texas,11626
Borden County,Texas,673
Bosque County,Texas,18326
Bowie County,Texas,94012
Brazoria County,Texas,362457
Brazos County,Texas,222830
Brewster County,Texas,9337
Briscoe County,Texas,1528
Brooks County,Texas,7235
Brown County,Texas,38053
Burleson County,Texas,18011
Burnet County,Texas,46804
Caldwell County,Texas,42338
Calhoun County,Texas,21744
Callahan County,Texas,13946
Cameron County,Texas,423725
Camp County,Texas,12855
Carson County,Texas,6032
Cass County,Texas,30012
Castro County,Texas,7843
Chambers County,Texas,41441
Cherokee County,Texas,52240
Childress County,Texas,7067
Clay County,Texas,10421
Cochran County,Texas,2851
Coke County,Texas,3306
Coleman County,Texas,8430
Collin County,Texas,969603
Collingsworth County,Texas,2987
Colorado County,Texas,21232
Comal County,Texas,141009
Comanche County,Texas,13573
Concho County,Texas,2717
Cooke County,Texas,39895
Coryell County,Texas,74913
Cottle County,Texas,1387
Crane County,Texas,4740
Crockett County,Texas,3564
Crosby County,Texas,5899
Culberson County,Texas,2231
Dallam County,Texas,7208
Dallas County,Texas,2618148
Dawson County,Texas,12813
Deaf Smith County,Texas,18836
Delta County,Texas,5298
Denton County,Texas,836210
DeWitt County,Texas,20226
Dickens County,Texas,2209
Dimmit County,Texas,10418
Donley County,Texas,3311
Duval County,Texas,11273
Eastland County,Texas,18411
Ector County,Texas,157087
Edwards County,Texas,1953
Ellis County,Texas,173620
El Paso County,Texas,840410
Erath County,Texas,41969
Falls County,Texas,17437
Fannin County,Texas,34446
Fayette County,Texas,25272
Fisher County,Texas,3880
Floyd County,Texas,5855
Foard County,Texas,1222
Fort Bend County,Texas,764828
Franklin County,Texas,10767
Freestone County,Texas,19625
Frio County,Texas,19600
Gaines County,Texas,20638
Galveston County,Texas,335036
Garza County,Texas,6528
Gillespie County,Texas,26646
Glasscock County,Texas,1348
Goliad County,Texas,7562
Gonzales County,Texas,20893
Gray County,Texas,22404
Grayson County,Texas,131140
Gregg County,Texas,123367
Grimes County,Texas,28032
Guadalupe County,Texas,159659
Hale County,Texas,34134
Hall County,Texas,3071
Hamilton County,Texas,8422
Hansford County,Texas,5477
Hardeman County,Texas,3994
Hardin County,Texas,57139
Harris County,Texas,4652980
Harrison County,Texas,66661
Hartley County,Texas,5691
Haskell County,Texas,5746
Hays County,Texas,214485
Hemphill County,Texas,4024
Henderson County,Texas,81064
Hidalgo County,Texas,860661
Hill County,Texas,35852
Hockley County,Texas,23088
Hood County,Texas,58273
Hopkins County,Texas,36496
Houston County,Texas,23021
Howard County,Texas,36040
Hudspeth County,Texas,4408
Hunt County,Texas,93872
Hutchinson County,Texas,21375
Irion County,Texas,1516
Jack County,Texas,8832
Jackson County,Texas,14805
Jasper County,Texas,35561
Jeff Davis County,Texas,2280
Jefferson County,Texas,256299
Jim Hogg County,Texas,5202
Jim Wells County,Texas,40871
Johnson County,Texas,167301
Jones County,Texas,19983
Karnes County,Texas,15187
Kaufman County,Texas,122883
Kendall County,Texas,44026
Kenedy County,Texas,417
Kent County,Texas,763
Kerr County,Texas,51720
Kimble County,Texas,4410
King County,Texas,296
Kinney County,Texas,3745
Kleberg County,Texas,31088
Knox County,Texas,3710
Lamar County,Texas,49587
Lamb County,Texas,13210
Lampasas County,Texas,21207
La Salle County,Texas,7584
Lavaca County,Texas,20062
Lee County,Texas,17183
Leon County,Texas,17243
Liberty County,Texas,83658
Limestone County,Texas,23527
Lipscomb County,Texas,3378
Live Oak County,Texas,12174
Llano County,Texas,21210
Loving County,Texas,134
Lubbock County,Texas,305225
Lynn County,Texas,5859
McCulloch County,Texas,7957
McLennan County,Texas,251259
McMullen County,Texas,778
Madison County,Texas,14222
Marion County,Texas,10064
Martin County,Texas,5626
Mason County,Texas,4222
Matagorda County,Texas,36840
Maverick County,Texas,58216
Medina County,Texas,50066
Menard County,Texas,2124
Midland County,Texas,165049
Milam County,Texas,25053
Mills County,Texas,4921
Mitchell County,Texas,8468
Montague County,Texas,19539
Montgomery County,Texas,570934
Moore County,Texas,22097
Morris County,Texas,12467
Motley County,Texas,1230
Nacogdoches County,Texas,65580
Navarro County,Texas,48701
Newton County,Texas,13952
Nolan County,Texas,14770
Nueces County,Texas,361221
Ochiltree County,Texas,10073
Oldham County,Texas,2114
Orange County,Texas,85047
Palo Pinto County,Texas,28570
Panola County,Texas,23243
Parker County,Texas,133463
Parmer County,Texas,9842
Pecos County,Texas,15634
Polk County,Texas,49162
Potter County,Texas,120458
Presidio County,Texas,7156
Rains County,Texas,11762
Randall County,Texas,134442
Reagan County,Texas,3710
Real County,Texas,3429
Red River County,Texas,12229
Reeves County,Texas,15281
Refugio County,Texas,7224
Roberts County,Texas,938
Robertson County,Texas,17203
Rockwall County,Texas,96788
Runnels County,Texas,10266
Rusk County,Texas,52833
Sabine County,Texas,10461
San Augustine County,Texas,8253
San Jacinto County,Texas,28270
San Patricio County,Texas,67215
San Saba County,Texas,5959
Schleicher County,Texas,3001
Scurry County,Texas,17050
Shackelford County,Texas,3328
Shelby County,Texas,25513
Sherman County,Texas,3067
Smith County,Texas,227727
Somervell County,Texas,8845
Starr County,Texas,64454
Stephens County,Texas,9337
Sterling County,Texas,1295
Stonewall County,Texas,1388
Sutton County,Texas,3767
Swisher County,Texas,7515
Tarrant County,Texas,2054475
Taylor County,Texas,136290
Terrell County,Texas,810
Terry County,Texas,12715
Throckmorton County,Texas,1527
Titus County,Texas,32904
Tom Green County,Texas,118019
Travis County,Texas,1226698
Trinity County,Texas,14667
Tyler County,Texas,21539
Upshur County,Texas,41281
Upton County,Texas,3663
Uvalde County,Texas,27132
Val Verde County,Texas,49205
Van Zandt County,Texas,55182
Victoria County,Texas,92084
Walker County,Texas,72245
Waller County,Texas,51307
Ward County,Texas,11472
Washington County,Texas,35043
Webb County,Texas,274794
Wharton County,Texas,41968
Wheeler County,Texas,5358
Wichita County,Texas,132000
Wilbarger County,Texas,12764
Willacy County,Texas,21584
Williamson County,Texas,547545
Wilson County,Texas,49304
Winkler County,Texas,7574
Wise County,Texas,66181
Wood County,Texas,44314
Yoakum County,Texas,8568
Young County,Texas,17979
Zapata County,Texas,14322
Zavala County,Texas,11948
Adams County,Nebraska,31610
Antelope County,Nebraska,6456
Arthur County,Nebraska,458
Banner County,Nebraska,759
Blaine County,Nebraska,482
Boone County,Nebraska,5388
Box Butte County,Nebraska,11305
Boyd County,Nebraska,2032
Brown County,Nebraska,2926
Buffalo County,Nebraska,47893
Burt County,Nebraska,6574
Butler County,Nebraska,8312
Cass County,Nebraska,25357
Cedar County,Nebraska,8711
Chase County,Nebraska,4000
Cherry County,Nebraska,5788
Cheyenne County,Nebraska,10091
Clay County,Nebraska,6392
Colfax County,Nebraska,10425
Cuming County,Nebraska,8996
Custer County,Nebraska,10792
Dakota County,Nebraska,20947
Dawes County,Nebraska,9088
Dawson County,Nebraska,24207
Deuel County,Nebraska,1937
Dixon County,Nebraska,5851
Dodge County,Nebraska,36515
Douglas County,Nebraska,537256
Dundy County,Nebraska,1981
Fillmore County,Nebraska,5698
Franklin County,Nebraska,3085
Frontier County,Nebraska,2709
Furnas County,Nebraska,4865
Gage County,Nebraska,21864
Garden County,Nebraska,1902
Garfield County,Nebraska,2035
Gosper County,Nebraska,1972
Grant County,Nebraska,633
Greeley County,Nebraska,2494
Hall County,Nebraska,60720
Hamilton County,Nebraska,9112
Harlan County,Nebraska,3513
Hayes County,Nebraska,976
Hitchcock County,Nebraska,2872
Holt County,Nebraska,10449
Hooker County,Nebraska,738
Howard County,Nebraska,6355
Jefferson County,Nebraska,7560
Johnson County,Nebraska,5144
Kearney County,Nebraska,6548
Keith County,Nebraska,8130
Keya Paha County,Nebraska,790
Kimball County,Nebraska,3702
Knox County,Nebraska,8565
Lancaster County,Nebraska,297036
Lincoln County,Nebraska,36051
Logan County,Nebraska,763
Loup County,Nebraska,576
Madison County,Nebraska,35278
McPherson County,Nebraska,526
Merrick County,Nebraska,7802
Morrill County,Nebraska,4908
Nance County,Nebraska,3623
Nemaha County,Nebraska,7157
Nuckolls County,Nebraska,4413
Otoe County,Nebraska,15752
Pawnee County,Nebraska,2709
Perkins County,Nebraska,2921
Phelps County,Nebraska,9213
Pierce County,Nebraska,7510
Platte County,Nebraska,32505
Polk County,Nebraska,5275
Red Willow County,Nebraska,11006
Richardson County,Nebraska,8125
Rock County,Nebraska,1411
Saline County,Nebraska,14416
Sarpy County,Nebraska,169331
Saunders County,Nebraska,20929
Scotts Bluff County,Nebraska,36848
Seward County,Nebraska,17089
Sheridan County,Nebraska,5251
Sherman County,Nebraska,3106
Sioux County,Nebraska,1475
Stanton County,Nebraska,6133
Thayer County,Nebraska,5189
Thomas County,Nebraska,699
Thurston County,Nebraska,6895
Valley County,Nebraska,4193
Washington County,Nebraska,20223
Wayne County,Nebraska,9411
Webster County,Nebraska,3688
Wheeler County,Nebraska,759
York County,Nebraska,13883
Beaver County,Utah,6629
Box Elder County,Utah,49975
Cache County,Utah,112656
Carbon County,Utah,21403
Daggett County,Utah,1059
Davis County,Utah,306479
Duchesne County,Utah,18607
Emery County,Utah,10976
Garfield County,Utah,5172
Grand County,Utah,9225
Iron County,Utah,46163
Juab County,Utah,10246
Kane County,Utah,7125
Millard County,Utah,12503
Morgan County,Utah,9469
Piute County,Utah,1556
Rich County,Utah,2264
Salt Lake County,Utah,1029665
San Juan County,Utah,14746
Sanpete County,Utah,27882
Sevier County,Utah,20802
Summit County,Utah,36324
Tooele County,Utah,58218
Uintah County,Utah,32588
Utah County,Utah,516564
Wasatch County,Utah,23530
Washington County,Utah,138115
Wayne County,Utah,2589
Weber County,Utah,231236
Baker County,Oregon,16510
Benton County,Oregon,91320
Clackamas County,Oregon,404980
Clatsop County,Oregon,38225
Columbia County,Oregon,50795
Coos County,Oregon,63190
Crook County,Oregon,21580
Curry County,Oregon,22600
Deschutes County,Oregon,176635
Douglas County,Oregon,110395
Gilliam County,Oregon,1980
Grant County,Oregon,7410
Harney County,Oregon,7320
Hood River County,Oregon,24735
Jackson County,Oregon,213765
Jefferson County,Oregon,22790
Josephine County,Oregon,84675
Klamath County,Oregon,67410
Lake County,Oregon,8015
Lane County,Oregon,365940
Lincoln County,Oregon,47735
Linn County,Oregon,122315
Malheur County,Oregon,31705
Marion County,Oregon,333950
Morrow County,Oregon,11745
Multnomah County,Oregon,790670
Polk County,Oregon,79730
Sherman County,Oregon,1795
Tillamook County,Oregon,25920
Umatilla County,Oregon,79880
Union County,Oregon,26745
Wallowa County,Oregon,7140
Wasco County,Oregon,26700
Washington County,Oregon,583595
Wheeler County,Oregon,1465
Yamhill County,Oregon,104990
Alachua County,Florida,249365
Baker County,Florida,27154
Bay County,Florida,169856
Bradford County,Florida,28255
Brevard County,Florida,543566
Broward County,Florida,1780172
Calhoun County,Florida,14750
Charlotte County,Florida,160511
Citrus County,Florida,140031
Clay County,Florida,192370
Collier County,Florida,328134
Columbia County,Florida,67485
DeSoto County,Florida,34894
Dixie County,Florida,16486
Duval County,Florida,937934
Escambia County,Florida,299114
Flagler County,Florida,97376
Franklin County,Florida,11596
Gadsden County,Florida,46151
Gilchrist County,Florida,17004
Glades County,Florida,12635
Gulf County,Florida,15844
Hamilton County,Florida,14671
Hardee County,Florida,27887
Hendry County,Florida,39089
Hernando County,Florida,173094
Highlands County,Florida,98630
Hillsborough County,Florida,1267775
Holmes County,Florida,19873
Indian River County,Florida,138894
Jackson County,Florida,49292
Jefferson County,Florida,14658
Lafayette County,Florida,8942
Lake County,Florida,301019
Lee County,Florida,631330
Leon County,Florida,277971
Levy County,Florida,40156
Liberty County,Florida,8314
Madison County,Florida,19115
Manatee County,Florida,327142
Marion County,Florida,332529
Martin County,Florida,147495
Miami-Dade County,Florida,2662874
Monroe County,Florida,73873
Nassau County,Florida,74195
Okaloosa County,Florida,183482
Okeechobee County,Florida,40140
Orange County,Florida,1169107
Osceola County,Florida,276163
Palm Beach County,Florida,1335187
Pasco County,Florida,466457
Pinellas County,Florida,917398
Polk County,Florida,609492
Putnam County,Florida,74041
St. Johns County,Florida,195823
St. Lucie County,Florida,280379
Santa Rosa County,Florida,154104
Sarasota County,Florida,382213
Seminole County,Florida,425071
Sumter County,Florida,97756
Suwannee County,Florida,41972
Taylor County,Florida,22691
Union County,Florida,15388
Volusia County,Florida,494804
Wakulla County,Florida,30978
Walton County,Florida,55793
Washington County,Florida,24935
Bristol County,Rhode_Island,49875
Kent County,Rhode_Island,166158
Newport County,Rhode_Island,82888
Providence County,Rhode_Island,626667
Washington County,Rhode_Island,126979
Belknap County,New_Hampshire,60641
Carroll County,New_Hampshire,47285
Cheshire County,New_Hampshire,75909
Coos County,New_Hampshire,31212
Grafton County,New_Hampshire,89320
Hillsborough County,New_Hampshire,406678
Merrimack County,New_Hampshire,147994
Rockingham County,New_Hampshire,301777
Strafford County,New_Hampshire,126825
Sullivan County,New_Hampshire,42967
Alamance County,North_Carolina,157844
Alexander County,North_Carolina,37159
Alleghany County,North_Carolina,10935
Anson County,North_Carolina,25531
Ashe County,North_Carolina,26833
Avery County,North_Carolina,17535
Beaufort County,North_Carolina,47316
Bertie County,North_Carolina,19913
Bladen County,North_Carolina,34130
Brunswick County,North_Carolina,122586
Buncombe County,North_Carolina,252268
Burke County,North_Carolina,88898
Cabarrus County,North_Carolina,196716
Caldwell County,North_Carolina,81805
Camden County,North_Carolina,10336
Carteret County,North_Carolina,68699
Caswell County,North_Carolina,22833
Catawba County,North_Carolina,156182
Chatham County,North_Carolina,68364
Cherokee County,North_Carolina,27463
Chowan County,North_Carolina,14370
Clay County,North_Carolina,10753
Cleveland County,North_Carolina,97038
Columbus County,North_Carolina,56589
Craven County,North_Carolina,103374
Cumberland County,North_Carolina,332766
Currituck County,North_Carolina,25247
Dare County,North_Carolina,35412
Davidson County,North_Carolina,164118
Davie County,North_Carolina,41766
Duplin County,North_Carolina,59350
Durham County,North_Carolina,300865
Edgecombe County,North_Carolina,54032
Forsyth County,North_Carolina,368362
Franklin County,North_Carolina,63866
Gaston County,North_Carolina,214049
Gates County,North_Carolina,11601
Graham County,North_Carolina,8607
Granville County,North_Carolina,58503
Greene County,North_Carolina,21059
Guilford County,North_Carolina,517197
Halifax County,North_Carolina,52300
Harnett County,North_Carolina,128753
Haywood County,North_Carolina,59854
Henderson County,North_Carolina,112156
Hertford County,North_Carolina,24262
Hoke County,North_Carolina,52571
Hyde County,North_Carolina,5507
Iredell County,North_Carolina,169798
Jackson County,North_Carolina,41725
Johnston County,North_Carolina,186308
Jones County,North_Carolina,9776
Lee County,North_Carolina,59805
Lenoir County,North_Carolina,57934
Lincoln County,North_Carolina,80504
McDowell County,North_Carolina,34160
Macon County,North_Carolina,21347
Madison County,North_Carolina,23227
Martin County,North_Carolina,45069
Mecklenburg County,North_Carolina,1034290
Mitchell County,North_Carolina,15155
Montgomery County,North_Carolina,27445
Moore County,North_Carolina,94191
Nash County,North_Carolina,94125
New Hanover County,North_Carolina,219866
Northampton County,North_Carolina,20426
Onslow County,North_Carolina,192685
Orange County,North_Carolina,141812
Pamlico County,North_Carolina,12803
Pasquotank County,North_Carolina,39546
Pender County,North_Carolina,57630
Perquimans County,North_Carolina,13506
Person County,North_Carolina,39240
Pitt County,North_Carolina,176484
Polk County,North_Carolina,20434
Randolph County,North_Carolina,142827
Richmond County,North_Carolina,45447
Robeson County,North_Carolina,134187
Rockingham County,North_Carolina,91566
Rowan County,North_Carolina,138940
Rutherford County,North_Carolina,66523
Sampson County,North_Carolina,63664
Scotland County,North_Carolina,35445
Stanly County,North_Carolina,60875
Stokes County,North_Carolina,46124
Surry County,North_Carolina,72315
Swain County,North_Carolina,14208
Transylvania County,North_Carolina,33291
Tyrrell County,North_Carolina,4090
Union County,North_Carolina,222095
Vance County,North_Carolina,44420
Wake County,North_Carolina,1023811
Warren County,North_Carolina,20190
Washington County,North_Carolina,12331
Watauga County,North_Carolina,53421
Wayne County,North_Carolina,124496
Wilkes County,North_Carolina,68525
Wilson County,North_Carolina,81379
Yadkin County,North_Carolina,37825
Yancey County,North_Carolina,17605
Atlantic County,New_Jersey,265429
Bergen County,New_Jersey,936692
Burlington County,New_Jersey,445384
Camden County,New_Jersey,507078
Cape May County,New_Jersey,92560
Cumberland County,New_Jersey,150972
Essex County,New_Jersey,799767
Gloucester County,New_Jersey,291408
Hudson County,New_Jersey,676061
Hunterdon County,New_Jersey,124714
Mercer County,New_Jersey,369811
Middlesex County,New_Jersey,829685
Monmouth County,New_Jersey,621354
Morris County,New_Jersey,494228
Ocean County,New_Jersey,601651
Passaic County,New_Jersey,503310
Salem County,New_Jersey,62607
Somerset County,New_Jersey,331164
Sussex County,New_Jersey,140799
Union County,New_Jersey,558067
Warren County,New_Jersey,105779
Adams County,Colorado,441603
Alamosa County,Colorado,15445
Arapahoe County,Colorado,572003
Archuleta County,Colorado,12084
Baca County,Colorado,3788
Bent County,Colorado,6499
Boulder County,Colorado,294567
City and County of Broomfield,Colorado,55889
Chaffee County,Colorado,17809
Cheyenne County,Colorado,1836
Clear Creek County,Colorado,9088
Conejos County,Colorado,8256
Costilla County,Colorado,3524
Crowley County,Colorado,5823
Custer County,Colorado,4255
Delta County,Colorado,30952
City and County of Denver,Colorado,600158
Dolores County,Colorado,2064
Douglas County,Colorado,285465
Eagle County,Colorado,52197
El Paso County,Colorado,622263
Elbert County,Colorado,23086
Fremont County,Colorado,46824
Garfield County,Colorado,56389
Gilpin County,Colorado,5441
Grand County,Colorado,14843
Gunnison County,Colorado,15324
Hinsdale County,Colorado,843
Huerfano County,Colorado,6711
Jackson County,Colorado,1394
Jefferson County,Colorado,534543
Kiowa County,Colorado,1398
Kit Carson County,Colorado,8270
La Plata County,Colorado,51334
Lake County,Colorado,7310
Larimer County,Colorado,299630
Las Animas County,Colorado,15507
Lincoln County,Colorado,5467
Logan County,Colorado,22709
Mesa County,Colorado,146723
Mineral County,Colorado,712
Moffat County,Colorado,13795
Montezuma County,Colorado,25535
Montrose County,Colorado,41276
Morgan County,Colorado,28159
Otero County,Colorado,18831
Ouray County,Colorado,4436
Park County,Colorado,16206
Phillips County,Colorado,4442
Pitkin County,Colorado,17148
Prowers County,Colorado,12551
Pueblo County,Colorado,159063
Rio Blanco County,Colorado,6666
Rio Grande County,Colorado,11982
Routt County,Colorado,23509
Saguache County,Colorado,6108
San Juan County,Colorado,699
San Miguel County,Colorado,7359
Sedgwick County,Colorado,2379
Summit County,Colorado,27994
Teller County,Colorado,23350
Washington County,Colorado,4814
Weld County,Colorado,252825
Yuma County,Colorado,10043
Allegany County,Maryland,74012
Anne Arundel County,Maryland,550488
Baltimore County,Maryland,817455
Baltimore City,Maryland,621342
Calvert County,Maryland,89628
Caroline County,Maryland,32718
Carroll County,Maryland,167217
Cecil County,Maryland,101696
Charles County,Maryland,150592
Dorchester County,Maryland,32551
Frederick County,Maryland,239582
Garrett County,Maryland,29854
Harford County,Maryland,248622
Howard County,Maryland,299430
Kent County,Maryland,20191
Montgomery County,Maryland,1004709
Prince George's County,Maryland,881138
Queen Anne's County,Maryland,48595
Somerset County,Maryland,26253
St. Mary's County,Maryland,108987
Talbot County,Maryland,38098
Washington County,Maryland,149180
Wicomico County,Maryland,100647
Worcester County,Maryland,51578
Carson City,Nevada,55274
Churchill County,Nevada,24877
Clark County,Nevada,2204079
Douglas County,Nevada,46997
Elko County,Nevada,48818
Esmeralda County,Nevada,783
Eureka County,Nevada,1987
Humboldt County,Nevada,16528
Lander County,Nevada,5775
Lincoln County,Nevada,5345
Lyon County,Nevada,51980
Mineral County,Nevada,4772
Nye County,Nevada,43946
Pershing County,Nevada,6753
Storey County,Nevada,4010
Washoe County,Nevada,460587
White Pine County,Nevada,10030
Anderson County,Tennessee,75129
Bedford County,Tennessee,45058
Benton County,Tennessee,16489
Bledsoe County,Tennessee,12876
Blount County,Tennessee,123010
Bradley County,Tennessee,98963
Campbell County,Tennessee,40716
Cannon County,Tennessee,13801
Carroll County,Tennessee,28522
Carter County,Tennessee,57424
Cheatham County,Tennessee,39105
Chester County,Tennessee,17131
Claiborne County,Tennessee,32213
Clay County,Tennessee,7861
Cocke County,Tennessee,35662
Coffee County,Tennessee,52796
Crockett County,Tennessee,14586
Cumberland County,Tennessee,56053
Davidson County,Tennessee,626681
Decatur County,Tennessee,11757
DeKalb County,Tennessee,18723
Dickson County,Tennessee,49666
Dyer County,Tennessee,38335
Fayette County,Tennessee,38412
Fentress County,Tennessee,17959
Franklin County,Tennessee,41052
Gibson County,Tennessee,49683
Giles County,Tennessee,29485
Grainger County,Tennessee,22657
Greene County,Tennessee,68831
Grundy County,Tennessee,13703
Hamblen County,Tennessee,62544
Hamilton County,Tennessee,336463
Hancock County,Tennessee,6819
Hardeman County,Tennessee,27253
Hardin County,Tennessee,26026
Hawkins County,Tennessee,56833
Haywood County,Tennessee,18787
Henderson County,Tennessee,27769
Henry County,Tennessee,32330
Hickman County,Tennessee,24690
Houston County,Tennessee,8426
Humphreys County,Tennessee,18538
Jackson County,Tennessee,11638
Jefferson County,Tennessee,51407
Johnson County,Tennessee,18244
Knox County,Tennessee,432226
Lake County,Tennessee,7832
Lauderdale County,Tennessee,27815
Lawrence County,Tennessee,41869
Lewis County,Tennessee,12161
Lincoln County,Tennessee,33361
Loudon County,Tennessee,48556
Macon County,Tennessee,22248
Madison County,Tennessee,98294
